,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
262,"09 Tolkewitz, Seidnitz, Gruna",25,4,7,9,25,19,1
263,"09 Tolkewitz, Seidnitz, Gruna",19,11,8,8,23,20,0
264,"09 Tolkewitz, Seidnitz, Gruna",23,11,6,10,26,16,1
265,"09 Tolkewitz, Seidnitz, Gruna",19,11,5,13,26,20,0
266,"09 Tolkewitz, Seidnitz, Gruna",21,10,8,7,27,18,1
267,"09 Tolkewitz, Seidnitz, Gruna",18,8,6,8,26,24,0
268,"09 Tolkewitz, Seidnitz, Gruna",21,11,4,10,25,18,0
269,"09 Tolkewitz, Seidnitz, Gruna",21,9,10,8,26,16,0
270,"09 Tolkewitz, Seidnitz, Gruna",26,9,7,13,23,14,0
271,10 StB Leuben,28,9,3,9,25,16,0
272,10 StB Leuben,29,8,3,6,23,19,0
273,10 StB Leuben,27,12,2,8,23,18,0
274,10 StB Leuben,26,6,6,9,31,11,0
275,10 StB Leuben,26,8,3,9,28,18,0
276,10 StB Leuben,20,9,5,7,35,11,0
277,10 StB Leuben,23,10,3,8,29,18,0
278,10 StB Leuben,21,9,4,9,28,20,0
279,10 StB Leuben,17,12,2,6,35,18,0
280,10 StB Leuben,16,10,2,6,34,19,1
281,10 StB Leuben,29,9,5,10,18,19,0
282,10 StB Leuben,28,10,10,11,16,15,0
283,10 StB Leuben,27,10,6,11,23,14,0
284,10 StB Leuben,18,9,6,12,28,17,0
285,10 StB Leuben,23,8,6,15,26,12,1
286,10 StB Leuben,22,8,4,9,33,16,0
287,10 StB Leuben,22,9,4,10,32,15,0
288,10 StB Leuben,30,8,3,11,28,13,0
289,10 StB Leuben,20,9,10,10,28,15,0
290,10 StB Leuben,24,8,4,12,31,13,0
291,10 StB Leuben,19,8,3,10,34,16,0
292,10 StB Leuben,19,9,7,6,36,16,0
293,10 StB Leuben,33,8,10,14,18,10,0
294,10 StB Leuben,31,8,5,9,22,15,0
295,10 StB Leuben,26,7,6,14,26,13,0
296,10 StB Leuben,24,7,7,9,33,12,0
297,10 StB Leuben,27,7,10,11,27,11,0
298,10 StB Leuben,25,7,7,10,31,11,0
299,10 StB Leuben,24,7,5,11,33,10,0
300,10 StB Leuben,30,7,5,12,30,10,0
301,10 StB Leuben,23,8,3,13,34,11,0
302,10 StB Leuben,24,9,4,11,23,17,0
303,10 StB Leuben,23,5,4,12,34,11,0
304,10 StB Leuben,17,11,2,7,38,15,1
305,10 StB Leuben,19,10,3,8,35,16,0
306,10 StB Leuben,21,9,5,5,30,20,1
307,10 StB Leuben,28,8,5,7,30,13,1
308,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",25,10,4,8,24,18,0
309,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",25,8,3,8,30,16,0
310,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",19,9,2,5,37,18,0
311,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",19,10,1,4,35,21,0
312,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",23,10,1,4,35,16,0
313,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",25,10,3,7,23,22,0
314,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",21,11,1,4,35,20,1
315,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",14,12,2,5,37,21,0
316,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",16,10,2,5,38,18,1
317,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",22,9,1,6,38,14,0
318,"11 Prohlis, Reick (mit Sternh_user, Am Koitschgraben)",18,8,3,6,31,24,0
319,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",29,9,5,12,22,14,0
320,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",21,7,3,15,31,13,0
321,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",21,8,3,11,32,16,0
322,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",23,9,5,13,33,10,0
323,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22,8,3,9,39,14,0
324,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",32,9,6,12,19,15,0
325,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",22,6,3,13,39,9,0
326,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25,8,4,11,34,12,0
327,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",27,8,5,11,31,9,0
328,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",25,8,5,11,31,11,0
329,"12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternh_user, Am Koitschgraben)",24,6,4,12,32,14,0
